id_accidente,fecha,d_a,gravedad,peaton,automovil,campaero,camioneta,micro,buseta,bus,camion,volqueta,moto,bicicleta,otro,via_1,barrio,entidad,id_comuna,nombrecomuna,propietario_de_veh_culo,diurnio_nocturno,hora_restriccion_moto
519,2012-02-17 06:05:00,Viernes,Solo Daños,0,1,0,0,0,0,0,0,0,0,0,0,CALLE,La Victoria,AGENTES DTB,C06, LA CONCORDIA,Particular,Diurno,No aplica
520,2012-02-18 00:50:00,Sabado,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,San Alonso,AGENTES DTB,C13, ORIENTAL,Empresa,Nocturno,No aplica
521,2012-02-18 12:00:00,Sabado,Con Heridos,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,SIN INFORMACION,AGENTES DTB,C25, SIN INFORMACION,Empresa,Diurno,No aplica
522,2012-02-18 07:30:00,Sabado,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Sotomayor,AGENTES DTB,C12, CABECERA DEL LLANO,Empresa,Diurno,Sin restricción
523,2012-02-18 11:30:00,Sabado,Solo Daños,0,0,0,1,0,0,0,1,0,0,0,0,CARRERA,San Francisco,AGENTES DTB,C03, SAN FRANCISCO,Empresa,Diurno,No aplica
524,2012-02-18 12:25:00,Sabado,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,San Francisco,AGENTES DTB,C03, SAN FRANCISCO,Empresa,Diurno,Sin restricción
525,2012-02-18 08:45:00,Sabado,Solo Daños,0,3,0,0,0,0,0,1,0,0,0,0,CARRERA,SIN INFORMACION,AGENTES DTB,C25, SIN INFORMACION,Empresa,Diurno,No aplica
526,2012-02-18 06:35:00,Sabado,Solo Daños,0,0,0,0,0,0,0,1,0,0,0,0,VIA CARRASCO,Rio de Oro I,AGENTES DTB,C04, OCCIDENTAL,Empresa,Diurno,No aplica
527,2012-02-18 21:00:00,Sabado,Solo Daños,0,1,0,0,0,0,0,1,0,0,0,0,CARRERA,Comuneros,AGENTES DTB,C03, SAN FRANCISCO,Particular,Nocturno,No aplica
528,2012-02-18 17:30:00,Sabado,Con Heridos,0,0,0,0,0,0,0,0,0,1,1,0,ANILLO VIAL,Cafe Madrid,AGENTES DTB,C01, NORTE,Particular,Diurno,Sin restricción
529,2012-02-18 13:20:00,Sabado,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,AUTOPISTA GIRÓN,Bucaramanga,AGENTES DTB,C08, SUROCCIDENTE,Empresa,Diurno,Sin restricción
530,2012-02-18 15:15:00,Sabado,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,AVENIDA Q SECA,Centro,AGENTES DTB,C15, CENTRO,Empresa,Diurno,Sin restricción
531,2012-02-18 10:40:00,Sabado,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,Nuevo Sotomayor,AGENTES DTB,C12, CABECERA DEL LLANO,Empresa,Diurno,No aplica
532,2012-02-18 11:45:00,Sabado,Con Heridos,0,0,0,1,0,0,0,0,0,1,0,0,CARRERA,Nuevo Sotomayor,AGENTES DTB,C12, CABECERA DEL LLANO,Empresa,Diurno,Sin restricción
533,2012-02-18 18:40:00,Sabado,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,AVENIDA Q SECA,Centro,AGENTES DTB,C15, CENTRO,Particular,Nocturno,Sin restricción
534,2012-02-18 20:30:00,Sabado,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,Diamante II,AGENTES DTB,C10, PROVENZA,Particular,Nocturno,No aplica
535,2012-02-18 14:40:00,Sabado,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,AUTOPISTA GIRÓN,Rio de Oro I,AGENTES DTB,C04, OCCIDENTAL,Empresa,Diurno,Sin restricción
536,2012-02-18 14:40:00,Sabado,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,TRANSVERSAL ORIENTAL,SIN INFORMACION,AGENTES DTB,C25, SIN INFORMACION,Empresa,Diurno,No aplica
537,2012-02-18 15:00:00,Sabado,Con Heridos,1,0,0,0,0,0,0,0,0,1,0,0,AVENIDA Q SECA,Centro,AGENTES DTB,C15, CENTRO,Empresa,Diurno,Sin restricción
538,2012-02-18 18:30:00,Sabado,Solo Daños,0,1,0,0,0,1,0,0,0,0,0,0,CARRERA,El Tejar,AGENTES DTB,C16, LAGOS DEL CACIQUE,Particular,Nocturno,No aplica
539,2012-02-18 15:15:00,Sabado,Solo Daños,0,1,0,0,0,0,0,1,0,0,0,0,CARRERA,Norte Bajo,AGENTES DTB,C03, SAN FRANCISCO,Empresa,Diurno,No aplica
540,2012-02-18 11:40:00,Sabado,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Sotomayor,AGENTES DTB,C12, CABECERA DEL LLANO,Empresa,Diurno,No aplica
541,2012-02-19 11:30:00,Domingo,Con Heridos,0,0,0,0,0,0,0,0,0,2,0,0,CARRERA,Cabecera del Llano,AGENTES DTB,C12, CABECERA DEL LLANO,Particular,Diurno,Sin restricción
542,2012-02-19 06:00:00,Domingo,Con Heridos,0,0,0,0,0,0,0,0,0,1,0,0,CALLE 45 VIA CHIMITA,La Estrella,AGENTES DTB,C05, GARCIA ROVIRA,Particular,Nocturno,Sin restricción
543,2012-02-19 06:40:00,Domingo,Con Heridos,0,0,0,0,0,0,0,0,0,1,0,1,AUTOPISTA  NORTE,Villa Mercedes,AGENTES DTB,C02, NORORIENTAL,Particular,Diurno,Sin restricción
544,2012-02-19 01:00:00,Domingo,Solo Daños,0,0,0,0,0,0,0,0,0,1,0,0,AUTOPISTA  CUCUTA,Morrorico,AGENTES DTB,C14, MORRORICO,Particular,Nocturno,En restricción
545,2012-02-19 19:50:00,Domingo,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,ANILLO VIAL,Cafe Madrid,AGENTES DTB,C01, NORTE,Empresa,Nocturno,Sin restricción
546,2012-02-19 12:50:00,Domingo,Con Heridos,0,0,0,0,0,0,0,0,0,1,0,0,AUTOPISTA GIRÓN,PREDIO URBANO PUENTE EL BUENO,AGENTES DTB,C08, SUROCCIDENTE,Particular,Diurno,Sin restricción
547,2012-02-19 12:05:00,Domingo,Solo Daños,0,0,0,0,0,1,1,0,0,0,0,0,TRANSVERSAL METROPOLITANA,Rio de Oro I,AGENTES DTB,C04, OCCIDENTAL,Empresa,Diurno,No aplica
548,2012-02-19 18:50:00,Domingo,Con Heridos,0,0,0,0,1,0,0,0,0,1,0,0,AVENIDA LA ROSITA,La Concordia,AGENTES DTB,C06, LA CONCORDIA,Particular,Nocturno,Sin restricción
549,2012-02-20 14:20:00,Lunes,Solo Daños,0,3,0,0,0,0,0,0,0,0,0,0,AUTOPISTA FLORIDA BUCARAMANGA,Puerta del Sol,AGENTES DTB,C12, CABECERA DEL LLANO,Particular,Diurno,No aplica
550,2012-02-20 00:20:00,Lunes,Solo Daños,0,1,0,1,0,0,0,0,0,0,0,0,CARRERA,Gomez Niño,AGENTES DTB,C06, LA CONCORDIA,Empresa,Nocturno,No aplica
551,2012-02-20 16:00:00,Lunes,Solo Daños,0,1,0,0,0,0,1,0,0,0,0,0,AVENIDA LA ROSITA,Alarcon,AGENTES DTB,C03, SAN FRANCISCO,Empresa,Diurno,No aplica
552,2012-02-20 19:10:00,Lunes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,AUTOPISTA FLORIDA BUCARAMANGA,Provenza,AGENTES DTB,C10, PROVENZA,Particular,Nocturno,No aplica
553,2012-02-20 07:30:00,Lunes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,La Concordia,AGENTES DTB,C06, LA CONCORDIA,Empresa,Diurno,No aplica
554,2012-02-20 22:15:00,Lunes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,AUTOPISTA FLORIDA BUCARAMANGA,Provenza,AGENTES DTB,C10, PROVENZA,Particular,Nocturno,No aplica
555,2012-02-20 19:05:00,Lunes,Con Heridos,1,0,0,0,0,0,0,0,0,1,0,0,BOULEVAR SANTANDER,San Francisco,AGENTES DTB,C03, SAN FRANCISCO,Particular,Nocturno,Sin restricción
556,2012-02-20 14:30:00,Lunes,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Nuevo Sotomayor,AGENTES DTB,C12, CABECERA DEL LLANO,Particular,Diurno,Sin restricción
557,2012-02-20 11:40:00,Lunes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,Centro,AGENTES DTB,C15, CENTRO,Particular,Diurno,No aplica
558,2012-02-21 07:50:00,Martes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,Real de Minas,AGENTES DTB,C07, LA CIUDADELA,Particular,Diurno,No aplica
559,2012-02-21 10:35:00,Martes,Con Heridos,0,0,0,1,0,0,0,0,0,1,0,0,CARRERA,Cabecera del Llano,AGENTES DTB,C12, CABECERA DEL LLANO,Particular,Diurno,Sin restricción
560,2012-02-21 07:41:00,Martes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,BOULEVAR BOLIVAR,San Francisco,AGENTES DTB,C03, SAN FRANCISCO,Particular,Diurno,No aplica
561,2012-02-21 17:10:00,Martes,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,CARRERA,San Rafael,AGENTES DTB,C03, SAN FRANCISCO,Empresa,Diurno,No aplica
562,2012-02-21 13:50:00,Martes,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,AUTOPISTA FLORIDA BUCARAMANGA,Diamante I,AGENTES DTB,C09, LA PEDREGOSA,Particular,Diurno,Sin restricción
563,2012-02-21 11:10:00,Martes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Provenza,AGENTES DTB,C10, PROVENZA,Particular,Diurno,No aplica
